Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,237.283,248.333,231.39,247.34,247.34,110300850
2021-02-25,242.05,245.736,223.527,227.407,227.407,117071565
2021-02-26,233.333,235.567,219.837,225.167,225.167,123267519
2021-03-01,230.037,290.667,228.35,239.477,239.477,81408717
2021-03-02,239.427,240.37,228.333,228.813,228.813,71196474
2021-03-03,229.33,233.567,217.235,217.733,217.733,90623880
2021-03-04,218.6,291.313,200.0,207.147,207.147,197758590
2021-03-05,208.687,209.281,179.83,199.317,199.317,268189377
2021-03-08,200.183,206.708,186.263,187.667,187.667,155360874
2021-03-09,202.727,226.03,198.403,224.527,224.527,202569984
2021-03-10,233.55,239.283,218.353,222.687,222.687,181817016
2021-03-11,233.133,234.167,225.727,233.2,233.2,108761676
2021-03-12,223.333,231.627,222.046,231.243,231.243,100751520
2021-03-15,231.363,237.727,228.013,235.98,235.98,88270437
2021-03-16,234.45,235.973,223.667,225.627,225.627,96587016
2021-03-17,218.957,234.577,217.003,233.937,233.937,121117359
2021-03-18,228.097,229.743,217.333,217.72,217.72,100107066
2021-03-19,215.533,219.077,208.207,218.29,218.29,128681934
2021-03-22,228.197,233.207,222.917,223.333,223.333,118536663
2021-03-23,225.257,225.933,219.17,220.72,220.72,91475610
2021-03-24,222.637,222.673,210.037,210.09,210.09,101385522
2021-03-25,204.333,215.167,203.167,213.463,213.463,117674550
2021-03-26,213.957,214.607,199.963,206.237,206.237,101558481
2021-03-29,205.213,205.493,198.673,203.763,203.763,85910955
2021-03-30,200.583,212.553,197.003,211.873,211.873,118297077
2021-03-31,215.54,224.0,213.703,222.643,222.643,100011864
2021-04-01,229.457,230.807,219.807,220.583,220.583,105895134
2021-04-05,235.903,236.053,228.233,230.35,230.35,125528301
2021-04-06,230.1,232.183,227.123,230.54,230.54,84815517
2021-04-07,229.0,230.46,222.613,223.657,223.657,78928299
2021-04-08,225.793,229.85,223.882,227.933,227.933,71772987
2021-04-09,225.923,226.99,223.143,225.673,225.673,64311261
2021-04-12,228.567,234.933,227.363,233.993,233.993,87407010
2021-04-13,237.567,254.333,236.887,254.107,254.107,133958424
2021-04-14,256.9,260.263,242.677,244.077,244.077,147052302
2021-04-15,247.7,247.897,240.437,246.283,246.283,83546700
2021-04-16,242.883,249.803,241.533,246.593,246.593,83938578
2021-04-19,239.867,241.8,230.6,238.21,238.21,119058678
2021-04-20,239.14,245.75,236.895,239.663,239.663,106827114
2021-04-21,234.923,248.28,232.667,248.04,248.04,93646542
2021-04-22,247.167,251.257,239.347,239.897,239.897,106770765
2021-04-23,239.933,245.787,238.487,243.133,243.133,85241667
2021-04-26,247.0,249.767,244.202,246.067,246.067,93115506
2021-04-27,239.32,241.333,234.45,234.913,234.913,88310985
2021-04-28,232.137,236.167,231.2,231.467,231.467,66813141
2021-04-29,233.17,234.083,222.833,225.667,225.667,86536347
2021-04-30,222.53,238.49,222.047,236.48,236.48,122276166
2021-05-03,234.6,235.333,226.833,228.3,228.3,81129429
2021-05-04,226.313,227.815,219.234,224.533,224.533,89217957
2021-05-05,227.02,228.432,222.447,223.647,223.647,65705682
2021-05-06,226.92,227.007,216.667,221.18,221.18,83353857
2021-05-07,221.933,230.0,220.073,224.123,224.123,70407516
2021-05-10,221.633,221.683,209.203,209.68,209.68,94177251
2021-05-11,199.747,209.033,198.533,205.733,205.733,139511688
2021-05-12,200.83,206.803,195.588,196.63,196.63,101470938
2021-05-13,200.515,202.153,186.55,190.563,190.563,132554748
2021-05-14,194.47,197.623,190.153,196.58,196.58,100112568
2021-05-17,191.851,196.577,187.067,192.277,192.277,97171080
2021-05-18,189.333,198.75,187.793,192.623,192.623,110491701
2021-05-19,184.183,188.737,182.327,187.82,187.82,118735185
2021-05-20,191.667,196.283,190.357,195.593,195.593,92463357
2021-05-21,198.703,198.893,193.333,193.627,193.627,78091785
2021-05-24,193.867,204.827,191.217,202.147,202.147,103674267
2021-05-25,202.437,204.663,198.57,201.563,201.563,84017799
2021-05-26,202.52,208.723,200.5,206.377,206.377,85917915
2021-05-27,206.747,210.377,205.403,210.283,210.283,79111779
2021-05-28,209.5,211.863,207.46,208.407,208.407,68211114
2021-06-01,209.267,211.267,206.85,207.967,207.967,54254670
2021-06-02,206.71,207.787,199.713,201.707,201.707,69908337
2021-06-03,200.6,201.517,190.407,190.947,190.947,90335679
2021-06-04,193.237,200.203,192.4,199.683,199.683,72110688
2021-06-07,197.275,203.333,194.293,201.71,201.71,67631046
2021-06-08,207.67,207.697,198.5,201.197,201.197,78160215
2021-06-09,200.723,203.93,199.21,199.593,199.593,49753698
2021-06-10,201.293,205.53,200.167,203.373,203.373,71758818
2021-06-11,203.41,204.187,200.507,203.297,203.297,48615909
2021-06-14,204.077,208.497,203.06,205.897,205.897,61271949
2021-06-15,205.563,205.597,199.41,199.787,199.787,53292435
2021-06-16,199.178,202.833,197.833,201.623,201.623,66432381
2021-06-17,200.629,207.157,200.447,205.533,205.533,68104050
2021-06-18,204.457,209.45,203.933,207.77,207.77,73682715
2021-06-21,208.16,210.463,202.96,206.943,206.943,74438223
2021-06-22,206.083,209.523,205.167,207.903,207.903,57476676
2021-06-23,210.667,219.068,210.013,218.857,218.857,93297684
2021-06-24,224.997,232.54,222.537,226.607,226.607,137947158
2021-06-25,229.86,231.27,222.9,223.957,223.957,97490121
2021-06-28,223.88,231.567,223.44,229.573,229.573,64884477
2021-06-29,228.217,229.17,225.297,226.92,226.92,52143939
2021-06-30,226.59,230.937,226.047,226.567,226.567,56774586
2021-07-01,227.973,229.33,224.267,225.973,225.973,55903566
2021-07-02,226.327,233.333,224.42,226.3,226.3,81292122
2021-07-06,227.237,228.0,217.133,219.86,219.86,69853350
2021-07-07,221.423,221.9,212.773,214.883,214.883,56375880
2021-07-08,209.457,218.143,206.82,217.603,217.603,68319948
2021-07-09,217.728,219.637,214.897,218.983,218.983,54421644
2021-07-12,220.733,229.08,220.72,228.567,228.567,77781126
2021-07-13,228.773,231.093,222.099,222.847,222.847,62898276
2021-07-14,223.583,226.203,217.613,217.793,217.793,64923570
2021-07-15,219.463,222.047,212.627,216.867,216.867,60628713
2021-07-16,218.227,218.9,214.067,214.74,214.74,49112910
2021-07-19,209.963,215.733,207.097,215.407,215.407,63891270
2021-07-20,217.33,220.797,213.5,220.167,220.167,46461381
2021-07-21,219.87,221.62,216.763,218.43,218.43,41860014
2021-07-22,218.814,220.723,214.867,216.42,216.42,45317181
2021-07-23,215.453,216.267,212.433,214.46,214.46,43814832
2021-07-26,216.99,222.733,215.703,219.207,219.207,76009668
2021-07-27,221.133,222.167,209.08,214.927,214.927,98439870
2021-07-28,215.665,218.323,213.133,215.66,215.66,48019788
2021-07-29,216.597,227.897,216.267,225.783,225.783,91183911
2021-07-30,223.919,232.51,223.0,229.067,229.067,88969233
2021-08-02,233.333,242.313,232.8,236.557,236.557,100847295
2021-08-03,239.667,240.883,233.67,236.58,236.58,64860759
2021-08-04,237.0,241.633,236.31,236.973,236.973,51007941
2021-08-05,238.667,240.317,237.137,238.21,238.21,38758911
2021-08-06,237.3,238.777,232.543,233.033,233.033,46869147
2021-08-09,236.723,239.677,235.043,237.92,237.92,44146047
2021-08-10,237.997,238.863,233.96,236.663,236.663,40296915
2021-08-11,237.57,238.393,234.737,235.94,235.94,29401674
2021-08-12,235.447,240.933,233.133,240.75,240.75,53045058
2021-08-13,241.237,243.3,238.113,239.057,239.057,50194401
2021-08-16,235.023,236.5,225.467,228.723,228.723,69309909
2021-08-17,224.217,224.86,216.28,221.903,221.903,71163837
2021-08-18,223.249,231.923,223.117,229.663,229.663,61048125
2021-08-19,226.07,228.85,222.53,224.49,224.49,42940458
2021-08-20,227.617,230.71,224.567,226.753,226.753,44525595
2021-08-23,228.481,237.377,226.917,235.433,235.433,60794577
2021-08-24,236.893,238.407,234.213,236.163,236.163,39249213
2021-08-25,235.677,238.99,234.667,237.067,237.067,37936686
2021-08-26,236.103,238.467,232.54,233.72,233.72,39642876
2021-08-27,235.0,238.333,234.033,237.307,237.307,41501289
2021-08-30,238.238,243.667,237.577,243.637,243.637,55812660
2021-08-31,244.333,246.797,242.147,245.24,245.24,62566308
2021-09-01,244.693,247.33,243.757,244.697,244.697,39613005
2021-09-02,244.833,246.99,243.513,244.13,244.13,38390217
2021-09-03,244.083,244.667,241.4,244.523,244.523,45813135
2021-09-07,246.667,253.4,246.42,250.973,250.973,60119475
2021-09-08,253.86,254.817,246.924,251.29,251.29,56379108
2021-09-09,251.137,254.033,250.543,251.62,251.62,42233193
2021-09-10,253.2,254.203,244.84,245.423,245.423,45552510
2021-09-13,246.738,248.26,236.283,247.667,247.667,68857446
2021-09-14,247.523,251.49,245.467,248.163,248.163,55574643
2021-09-15,248.333,252.287,246.12,251.943,251.943,46073055
2021-09-16,250.943,252.97,249.203,252.33,252.33,41770179
2021-09-17,252.383,253.68,250.0,253.163,253.163,84612528
2021-09-20,244.853,247.333,239.542,243.39,243.39,74272956
2021-09-21,244.93,248.247,243.48,246.46,246.46,48992169
2021-09-22,247.842,251.223,246.373,250.647,250.647,45378816
2021-09-23,251.667,252.733,249.307,251.213,251.213,35842581
2021-09-24,248.63,258.267,248.187,258.13,258.13,64119066
2021-09-27,257.707,266.333,256.437,263.787,263.787,84211971
2021-09-28,262.4,265.213,255.393,259.187,259.187,76144266
2021-09-29,259.933,264.5,256.893,260.437,260.437,62828631
2021-09-30,260.333,263.044,258.333,258.493,258.493,53867883
2021-10-01,259.467,260.26,254.53,258.407,258.407,51094242
2021-10-04,265.5,268.99,258.707,260.51,260.51,91450023
2021-10-05,261.599,265.77,258.067,260.197,260.197,55297875
2021-10-06,258.733,262.22,257.74,260.917,260.917,43898304
2021-10-07,261.82,268.333,261.127,264.537,264.537,57587346
2021-10-08,265.403,265.46,260.303,261.83,261.83,50215812
2021-10-11,262.55,267.08,261.833,263.98,263.98,42600966
2021-10-12,266.977,270.773,265.523,268.573,268.573,66060120
2021-10-13,270.157,271.803,268.593,270.36,270.36,42360225
2021-10-14,271.83,273.417,271.117,272.773,272.773,36741510
2021-10-15,274.579,281.07,274.117,281.01,281.01,56773701
2021-10-18,283.93,291.753,283.823,290.037,290.037,72621732
2021-10-19,292.51,292.65,287.503,288.09,288.09,52143384
2021-10-20,288.45,289.83,285.793,288.6,288.6,42096156
2021-10-21,285.333,300.0,285.168,298.0,298.0,94444362
2021-10-22,298.5,303.333,296.987,303.227,303.227,68642505
2021-10-25,316.843,348.34,314.733,341.62,341.62,188556297
2021-10-26,341.563,364.98,333.813,339.477,339.477,187244904
2021-10-27,346.553,356.96,343.593,345.953,345.953,115579377
2021-10-28,356.102,360.333,351.4,359.013,359.013,81639519
2021-10-29,360.62,371.737,357.735,371.333,371.333,89755251
2021-11-01,381.667,403.25,372.887,402.863,402.863,168146148
2021-11-02,386.452,402.863,382.0,390.667,390.667,128213391
2021-11-03,392.443,405.13,384.207,404.62,404.62,103885557
2021-11-04,411.47,414.497,405.667,409.97,409.97,76192230
2021-11-05,409.333,413.29,402.667,407.363,407.363,64886436
2021-11-08,383.262,399.0,377.667,387.647,387.647,100337145
2021-11-09,391.2,391.5,337.173,341.167,341.167,177317508
2021-11-10,336.803,359.367,329.103,355.983,355.983,128408166
2021-11-11,367.59,368.323,351.56,354.503,354.503,67189704
2021-11-12,349.167,351.5,339.733,344.473,344.473,76719444
2021-11-15,339.21,343.993,326.2,337.797,337.797,104326947
2021-11-16,334.437,352.4,334.06,351.577,351.577,79627077
2021-11-17,354.503,373.213,351.833,363.003,363.003,94336095
2021-11-18,368.85,370.667,358.34,365.46,365.46,62696790
2021-11-19,366.29,379.573,364.233,379.02,379.02,64926774
2021-11-22,387.443,400.65,377.477,385.623,385.623,99217527
2021-11-23,389.17,393.5,354.233,369.677,369.677,108515100
2021-11-24,360.13,377.59,354.0,372.0,372.0,67680714
2021-11-26,366.49,369.594,360.333,360.64,360.64,35042670
2021-11-29,366.997,380.89,366.73,378.997,378.997,58393401
2021-11-30,381.457,389.333,372.667,381.587,381.587,81276114
2021-12-01,386.898,390.947,363.587,365.0,365.0,68804094
2021-12-02,366.353,371.0,352.217,361.533,361.533,73114869
2021-12-03,361.597,363.525,333.403,338.323,338.323,92321985
2021-12-06,333.837,340.547,316.833,336.337,336.337,81663111
2021-12-07,348.067,352.558,342.27,350.583,350.583,56084571
2021-12-08,350.903,357.46,344.333,356.32,356.32,41906370
2021-12-09,353.547,354.163,334.12,334.6,334.6,59438496
2021-12-10,336.25,340.327,327.51,339.01,339.01,59664366
2021-12-13,333.697,335.0,317.14,322.137,322.137,78595506
2021-12-14,315.0,322.137,310.0,319.503,319.503,70806270
2021-12-15,317.737,326.25,309.417,325.33,325.33,75169230
2021-12-16,331.5,331.66,307.283,308.973,308.973,82771449
2021-12-17,304.923,320.22,303.013,310.857,310.857,100880262
2021-12-20,303.567,307.229,297.797,299.98,299.98,56480013
2021-12-21,305.623,313.167,295.373,312.843,312.843,71517915
2021-12-22,321.887,338.553,319.017,336.29,336.29,93634086
2021-12-23,335.6,357.659,332.52,355.667,355.667,92713287
2021-12-27,357.89,372.333,356.905,364.647,364.647,71145819
2021-12-28,369.83,373.0,359.473,362.823,362.823,60323907
2021-12-29,366.213,368.0,354.713,362.063,362.063,56154045
2021-12-30,353.777,365.183,351.05,356.78,356.78,47040939
2021-12-31,357.815,360.667,351.53,352.26,352.26,40733625
2022-01-03,382.583,400.357,378.68,399.927,399.927,104686047
2022-01-04,396.517,402.667,374.35,383.197,383.197,100248258
2022-01-05,382.217,390.113,360.337,362.707,362.707,80119797
2022-01-06,359.0,362.667,340.167,354.9,354.9,90336474
2022-01-07,360.123,360.31,336.667,342.32,342.32,84164748
2022-01-10,333.333,353.033,326.667,352.707,352.707,91814877
2022-01-11,351.223,358.617,346.273,354.8,354.8,66063210
2022-01-12,359.617,371.613,357.53,368.74,368.74,83739015
2022-01-13,369.688,371.867,342.18,343.853,343.853,97209792
2022-01-14,339.96,350.667,337.793,349.87,349.87,72924411
2022-01-18,342.202,356.93,338.687,343.503,343.503,66989409
2022-01-19,347.235,351.557,331.667,331.883,331.883,75442488
2022-01-20,336.577,347.22,331.333,332.09,332.09,70488744
2022-01-21,332.113,334.85,313.5,314.633,314.633,103416027
2022-01-24,301.587,311.171,283.823,310.0,310.0,152375142
2022-01-25,304.733,317.087,301.07,306.133,306.133,86595906
2022-01-26,317.477,329.23,302.0,312.47,312.47,104867283
2022-01-27,311.12,311.797,276.333,276.367,276.367,147109569
2022-01-28,277.187,285.833,264.003,282.117,282.117,134788950
2022-01-31,290.903,312.663,287.35,312.24,312.24,104436096
2022-02-01,311.737,314.567,301.667,310.417,310.417,73138338
2022-02-02,309.393,310.5,296.47,301.887,301.887,66793035
2022-02-03,294.0,312.333,293.507,297.047,297.047,78855558
2022-02-04,299.073,312.167,293.723,307.773,307.773,73625466
2022-02-07,307.93,315.923,300.903,302.447,302.447,60994464
2022-02-08,301.843,308.763,298.267,307.333,307.333,50729013
2022-02-09,311.667,315.423,306.667,310.667,310.667,52259544
2022-02-10,302.79,314.603,298.9,301.517,301.517,66126831
2022-02-11,303.21,305.32,283.567,286.667,286.667,79645869
2022-02-14,287.19,299.627,284.383,291.92,291.92,67756416
2022-02-15,300.0,307.667,297.792,307.477,307.477,57649542
2022-02-16,304.683,308.81,300.403,307.797,307.797,51294396
2022-02-17,304.42,306.167,291.367,292.117,292.117,55178418
2022-02-18,295.333,295.623,279.203,285.66,285.66,68501841
2022-02-22,278.043,285.578,267.033,273.843,273.843,83288202
2022-02-23,276.81,278.433,253.52,254.68,254.68,95257008
2022-02-24,233.463,267.493,233.333,266.923,266.923,135322275
2022-02-25,269.743,273.167,260.8,269.957,269.957,76067763
2022-02-28,271.67,292.287,271.569,290.143,290.143,99006867
2022-03-01,289.893,296.627,284.593,288.123,288.123,74766861
2022-03-02,290.71,295.493,281.424,293.297,293.297,74643438
2022-03-03,292.923,295.48,277.533,279.763,279.763,61623507
2022-03-04,283.033,285.217,275.054,279.43,279.43,67179861
2022-03-07,285.433,288.713,268.19,268.193,268.193,72494172
2022-03-08,265.177,283.33,260.723,274.8,274.8,80399106
2022-03-09,279.827,286.853,277.337,286.323,286.323,59183979
2022-03-10,283.817,284.817,270.12,279.433,279.433,58648644
2022-03-11,280.066,281.267,264.59,265.117,265.117,67037166
2022-03-14,260.203,266.9,252.013,255.457,255.457,71152263
2022-03-15,258.423,268.523,252.19,267.297,267.297,66841143
2022-03-16,269.667,280.667,267.42,280.077,280.077,84028821
2022-03-17,276.997,291.667,275.239,290.533,290.533,66582972
2022-03-18,291.497,302.617,289.13,301.797,301.797,100414191
2022-03-21,304.993,314.283,302.363,307.053,307.053,81981648
2022-03-22,310.0,332.62,307.25,331.327,331.327,105868557
2022-03-23,326.647,346.9,325.467,333.037,333.037,120676149
2022-03-24,336.577,341.497,329.6,337.973,337.973,68920878
2022-03-25,336.0,340.6,332.44,336.88,336.88,62031546
2022-03-28,355.033,365.96,351.2,363.947,363.947,102506079
2022-03-29,369.33,371.59,357.703,366.523,366.523,73614819
2022-03-30,363.723,371.317,361.333,364.663,364.663,59865006
2022-03-31,364.857,367.713,358.88,359.2,359.2,48992757
2022-04-01,360.383,364.917,355.547,361.53,361.53,54263223
2022-04-04,363.127,383.303,357.51,381.817,381.817,82177701
2022-04-05,378.767,384.29,362.433,363.753,363.753,80075019
2022-04-06,357.823,359.667,342.567,348.587,348.587,89348535
2022-04-07,350.797,358.863,340.513,352.42,352.42,79447059
2022-04-08,347.737,349.48,340.812,341.83,341.83,55013688
2022-04-11,326.8,336.156,324.88,325.31,325.31,59357205
2022-04-12,332.547,340.397,325.533,328.983,328.983,65976096
2022-04-13,327.025,342.08,324.366,340.79,340.79,55121211
2022-04-14,333.097,337.57,327.397,328.333,328.333,58422405
2022-04-18,329.677,338.307,324.47,334.763,334.763,51715221
2022-04-19,335.02,344.98,331.775,342.717,342.717,49847832
2022-04-20,343.333,344.667,325.083,325.733,325.733,70711326
2022-04-21,358.243,364.073,332.138,336.26,336.26,105416337
2022-04-22,338.303,344.95,331.333,335.017,335.017,69696558
2022-04-25,326.323,336.207,325.1,332.673,332.673,68341335
2022-04-26,331.81,333.333,291.667,292.14,292.14,136133667
2022-04-27,299.527,306.0,292.453,293.837,293.837,76956396
2022-04-28,299.993,300.0,273.9,292.503,292.503,124948527
2022-04-29,300.75,311.467,290.0,290.253,290.253,88132995
2022-05-02,286.923,302.12,282.677,300.98,300.98,75781371
2022-05-03,301.06,308.027,296.197,303.083,303.083,63709575
2022-05-04,301.313,318.5,295.093,317.54,317.54,81643704
2022-05-05,313.07,315.2,285.9,291.093,291.093,92519193
2022-05-06,295.667,296.0,281.035,288.55,288.55,72903111
2022-05-09,278.817,281.877,260.383,262.37,262.37,90810222
2022-05-10,273.103,275.12,258.083,266.68,266.68,84401631
2022-05-11,265.0,269.923,242.4,244.667,244.667,97224459
2022-05-12,233.667,253.22,226.667,242.667,242.667,140312862
2022-05-13,257.827,262.45,250.522,256.53,256.53,92150724
2022-05-16,255.72,256.587,239.696,241.457,241.457,86098539
2022-05-17,249.12,254.827,242.95,253.87,253.87,80236110
2022-05-18,248.173,253.5,233.603,236.603,236.603,87811812
2022-05-19,235.667,244.667,231.37,236.473,236.473,90296673
2022-05-20,237.997,240.527,211.0,221.3,221.3,144973305
2022-05-23,218.34,226.652,212.687,224.967,224.967,88903638
2022-05-24,217.843,217.973,206.857,209.387,209.387,89092515
2022-05-25,207.95,223.107,207.67,219.6,219.6,92139324
2022-05-26,220.473,239.557,217.887,235.91,235.91,106003344
2022-05-27,241.083,253.267,240.177,253.21,253.21,89294982
2022-05-31,257.947,259.6,244.743,252.753,252.753,101914371
2022-06-01,251.72,257.327,243.64,246.79,246.79,77247963
2022-06-02,244.157,264.21,242.067,258.333,258.333,93473118
2022-06-03,243.225,247.797,233.418,234.517,234.517,112393737
2022-06-06,244.353,244.867,234.35,238.28,238.28,84204522
2022-06-07,234.0,239.997,230.093,238.887,238.887,72808602
2022-06-08,240.087,249.963,239.177,241.867,241.867,76210620
2022-06-09,249.34,255.547,239.327,239.707,239.707,96491307
2022-06-10,235.157,239.5,227.913,232.23,232.23,98090898
2022-06-13,223.167,226.633,214.683,215.737,215.737,102767262
2022-06-14,218.287,226.33,211.737,220.89,220.89,97988796
2022-06-15,220.917,235.663,218.15,233.0,233.0,119131935
2022-06-16,222.737,225.167,208.693,213.1,213.1,107390700
2022-06-17,213.433,220.969,213.197,216.76,216.76,92641770
2022-06-21,224.603,243.577,224.333,237.037,237.037,122792955
2022-06-22,234.503,246.833,233.827,236.087,236.087,101527260
2022-06-23,237.905,239.317,228.637,235.07,235.07,104202678
2022-06-24,237.468,246.067,236.087,245.707,245.707,95770695
2022-06-27,249.367,252.07,242.566,244.92,244.92,89178312
2022-06-28,244.483,249.97,232.343,232.663,232.663,90666501
2022-06-29,230.5,231.173,222.273,228.49,228.49,82897254
2022-06-30,224.51,229.457,218.863,224.473,224.473,94600452
2022-07-01,227.0,230.23,222.12,227.263,227.263,74460444
2022-07-05,223.0,233.147,216.167,233.067,233.067,84779112
2022-07-06,230.78,234.563,227.187,231.733,231.733,71853630
2022-07-07,233.92,245.362,232.21,244.543,244.543,81930690
2022-07-08,242.333,254.98,241.161,250.763,250.763,101854086
2022-07-11,252.103,253.063,233.627,234.343,234.343,99509220
2022-07-12,236.847,239.773,228.368,233.07,233.07,87930960
2022-07-13,225.5,242.06,225.033,237.04,237.04,97954497
2022-07-14,234.897,238.653,229.333,238.313,238.313,78557499
2022-07-15,240.0,243.623,236.89,240.067,240.067,69683019
2022-07-18,244.937,250.517,239.603,240.547,240.547,82537428
